market_cap,currency,exchange,country,sector,industry,pe_ratio,peg_ratio,price_to_book,eps,book_value,dividend_yield,beta,roe,roa,profit_margin,operating_margin,company_id,ticker,company_name,source
2900729528000,USD,NASDAQ,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,23.26,1.204,7.0,16.79,55.78,0.0093,1.13,0.34,0.148,0.393,0.463,CMP001,MSFT,Microsoft Corporation,alpha_vantage
404043694000,USD,NYSE,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,24.02,0.805,10.93,5.84,13.04,0.014,1.712,0.534,0.0651,0.254,0.362,CMP002,ORCL,Oracle Corporation,alpha_vantage
272115581000,USD,NYSE,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,25.64,2.704,8.25,11.29,35.08,0.0235,0.675,0.358,0.0537,0.156,0.138,CMP003,IBM,IBM Corporation,alpha_vantage
136044093000,USD,NYSE,USA,TECHNOLOGY,SOFTWARE - APPLICATION,19.23,0.779,3.905,8.64,41.8,0.0103,1.178,0.169,0.057,0.187,0.218,CMP004,CRM,Salesforce Inc.,alpha_vantage
87338697000,USD,NASDAQ,USA,TECHNOLOGY,SOFTWARE - APPLICATION,12.56,0.577,7.28,17.49,28.87,None,1.433,0.629,0.199,0.287,0.353,CMP005,ADBE,Adobe Inc.,alpha_vantage
109648667000,USD,NYSE,USA,TECHNOLOGY,SOFTWARE - APPLICATION,63.29,1.026,9.3,1.68,11.37,None,0.959,0.161,0.0566,0.126,0.133,CMP006,NOW,ServiceNow Inc.,alpha_vantage
444160279000,USD,NASDAQ,USA,TECHNOLOGY,COMMUNICATION EQUIPMENT,37.56,1.624,9.44,3,12.4,0.0141,1.007,0.252,0.0734,0.197,0.25,CMP007,CSCO,Cisco Systems Inc.,alpha_vantage
283668906000,USD,NASDAQ,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,302.66,5.75,10.37,1.15,34.03,None,0.908,0.0483,0.0177,0.0795,-0.0247,CMP009,PANW,Palo Alto Networks Inc.,alpha_vantage
92677792000,USD,NASDAQ,USA,TECHNOLOGY,SOFTWARE - APPLICATION,667.59,1.647,23.61,0.39,11.21,None,1.543,0.0393,-0.0022,0.037,0.008,CMP025,DDOG,Datadog Inc.,alpha_vantage
9834758000,USD,NYSE,USA,TECHNOLOGY,SOFTWARE - APPLICATION,101.12,0.299,4.812,1.9,38.43,None,1.222,0.0501,0.011,0.0304,0.033,CMP026,HUBS,HubSpot Inc.,alpha_vantage
28543683000,USD,NASDAQ,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,None,1.672,9.85,-0.35,36.46,None,1.549,-0.0098,-0.0182,-0.0112,-0.0361,CMP027,MDB,MongoDB Inc.,alpha_vantage
25553721000,USD,NASDAQ,USA,TECHNOLOGY,SOFTWARE - APPLICATION,12.83,4.214,2.651,6.79,33.19,None,1.014,0.22,0.0655,0.42,0.251,CMP028,ZM,Zoom Video Communications Inc.,alpha_vantage
